feature_signature,group_size,distinct_labels
42638:0.02018801|18108:0.06929316|36899:0.01903338|21582:0.01563614|7941:0.01475147|13558:0.03363047|10620:0.01009950|22346:0.05998791|28853:0.07467007|11146:0.01613809|22370:0.07731676|4871:0.01173107|270:0.01901929|49073:0.03964757|27300:0.02610072|22078:0.02076715|30984:0.02473049|2774:0.08102464|40238:0.06348778|38006:0.05190493|35630:0.04574186|11769:0.12089230|44793:0.03532715|14118:0.07754090|42166:0.13188945|14131:0.08140169|42180:0.03455612|14141:0.03522492|10491:0.01987326|11832:0.02582386|15985:0.10774595|31074:0.03882090|10393:0.02526283|16143:0.02251622|31094:0.05086100|16447:0.23218310|29993:0.04047888|48820:0.01735993|38409:0.04259204|27552:0.02942989|28710:0.09319092|626:0.02318077|8629:0.02375287|62:0.05276866|29663:0.04990627|5239:0.40451147|47261:0.02875517|28854:0.03014116|348:0.03636142|28855:0.03735077|16047:0.17452020|13572:0.03888852|13575:0.02654813|11877:0.02736369|49985:0.16103097|16151:0.02693573|11794:0.03291342|21671:0.02532505|21672:0.03921177|22371:0.03241667|37064:0.02745864|11879:0.03408475|29671:0.05922144|987:0.02812402|28860:0.03740867|16049:0.03640889|16051:0.03214474|18757:0.06563872|27365:0.03147848|23932:0.08354056|2782:0.04043485|37373:0.03696317|11544:0.07592465|11551:0.03712562|2818:0.27489773|10651:0.04177028|42179:0.07493450|14140:0.07566779|18812:0.03354506|39555:0.18462052|11275:0.04446988|49995:0.04650069|16448:0.04687186|48992:0.04818593|4973:0.04191137|30988:0.04099820|11545:0.08472041|16054:0.03746725|2820:0.08847377|29003:0.63330290,3,2
42638:0.02021504|18108:0.01261562|36899:0.01270591|41932:0.01654921|21582:0.01565708|46637:0.02661736|27300:0.02613567|46701:0.03486911|49010:0.11412495|49315:0.08187016|46794:0.06355387|99:0.14170094|17025:0.07564293|16737:0.14348894|35608:0.89548236|37854:0.15576236|49103:0.08582125|13515:0.08515229|36427:0.07149264|9007:0.06650230|42756:0.07564293|17026:0.08234790|19526:0.08691658|9009:0.08393498|42757:0.08234790|36325:0.06773426|49105:0.08365241|49316:0.17383315,3,2
42638:0.02104128|6425:0.06525265|18108:0.09191880|36899:0.05290093|45676:0.16669511|48347:0.03032408|3102:0.02805038|13813:0.02426455|17263:0.14030787|12776:0.09340479|17428:0.03066204|17468:0.03613647|4871:0.02445379|2910:0.03266267|19857:0.05566475|3224:0.03803824|2234:0.14573819|32376:0.34175367|40238:0.03308558|9409:0.11318549|45265:0.03184306|6555:0.04279395|40260:0.05438582|6443:0.03331542|13928:0.06193126|13929:0.06362804|40262:0.06409912|42473:0.08496282|42114:0.08603516|10907:0.05100585|42146:0.10475027|37091:0.12802075|12831:0.08090252|12806:0.04345747|37394:0.04372329|37102:0.08707150|46855:0.39399001|19890:0.07550517|15279:0.08597148|12786:0.07124002|37094:0.07873465|31031:0.07238257|45690:0.06906420|45691:0.08074312|42493:0.08139586|32389:0.06442542|42151:0.08546208|37098:0.05290022|41107:0.08678544|16428:0.20140456|22473:0.07810170|16429:0.07432880|6505:0.07231178|8586:0.06216885|28108:0.21129429|11552:0.06836457|4941:0.07785888|45762:0.06294463|13358:0.23505088|2244:0.25286326|32396:0.06937901|6506:0.07873465|17721:0.06986978|32385:0.08451229|45684:0.07738957|1400:0.08707150|46501:0.28123150|46863:0.08863269|28134:0.29835013|19859:0.08264665,3,2
42638:0.02105240|6425:0.00435248|18108:0.07094626|25663:0.01003919|40320:0.08663630|36899:0.04763600|29109:0.04619776|26328:0.00820635|2074:0.01879418|47879:0.00381083|21582:0.03587240|23973:0.04848756|31386:0.01409556|7941:0.01230647|48347:0.01213604|43376:0.00643677|4296:0.18679774|3102:0.15716513|10620:0.01685108|24027:0.00935152|48374:0.01339151|3111:0.15315998|6704:0.05721648|13813:0.01456642|17263:0.06738336|43583:0.01628510|12776:0.01246055|22346:0.01668171|28853:0.01557344|11146:0.06058467|17428:0.01227130|17468:0.00723111|37159:0.00724129|22370:0.01075030|4871:0.06850679|2910:0.01307197|35232:0.00825984|12546:0.02758644|48154:0.01056811|270:0.02380037|47061:0.00956421|25216:0.01004258|27300:0.07621117|22078:0.06063772|30984:0.01031575|3224:0.01522333|21043:0.08420763|21692:0.01397440|32376:0.07815640|40238:0.01324123|41872:0.03732102|41679:0.03668153|14687:0.01072194|42598:0.11532403|42546:0.07784490|11746:0.01032156|20008:0.01559076|6242:0.01609479|48521:0.00995296|43319:0.01264214|38006:0.09742921|41715:0.01421766|9409:0.01132453|11769:0.01440783|30495:0.02092365|14118:0.11859607|42166:0.12103216|20078:0.02130081|5053:0.01240852|40275:0.01079114|42972:0.01345133|41874:0.01550918|32391:0.05008744|24101:0.01339995|41689:0.01544067|11172:0.02644824|41703:0.01618905|38243:0.01310099|25673:0.01575525|14131:0.12450102|42973:0.01553252|45265:0.04460384|36951:0.02978162|36893:0.04312035|23281:0.04627555|8783:0.00682112|45813:0.01516129|16447:0.01936996|21163:0.33489954|29794:0.02244728|8840:0.02172545|6443:0.00666660|21198:0.02604374|38409:0.00888314|38294:0.05286822|3187:0.00755111|4297:0.03017987|4460:0.02833642|4326:0.01430712|3163:0.01497898|3909:0.04078815|47284:0.04668926|27529:0.03550146|29440:0.01334157|22603:0.01121471|8843:0.06065872|6164:0.03533236|18489:0.03118357|13868:0.02018817|19908:0.01224170|13871:0.02187890|21697:0.02186330|38232:0.01165286|9674:0.01046390|46855:0.03378842|40965:0.00984531|41023:0.02222074|8629:0.00990796|1205:0.01226614|41545:0.03558238|19662:0.01528906|41782:0.04646335|33982:0.01131827|47596:0.00966224|8044:0.00857168|4311:0.01466207|3117:0.01835952|4312:0.01550918|14000:0.03097631|31522:0.01205587|32210:0.01057905|5482:0.02126917|12705:0.02480993|29145:0.01133710|3210:0.02432139|37026:0.02590490|21607:0.01169357|36949:0.02425647|23305:0.01432022|41212:0.03503602|23176:0.01043096|29464:0.01373899|48776:0.01705229|10678:0.02954663|10679:0.03140732|18969:0.00967074|11152:0.02626103|26622:0.01195606|46255:0.03738547|25958:0.01039252|24029:0.01398134|33648:0.09408196|3299:0.05087192|23977:0.01305029|39434:0.38365993|30887:0.06128165|15862:0.04053874|21274:0.01227599|4987:0.01284597|18942:0.01353987|18943:0.01742350|42441:0.01261873|42442:0.01318322|25013:0.02768185|21069:0.01383051|29873:0.03377020|26339:0.01715179|21219:0.01628777|45267:0.07214992|47349:0.01387250|47292:0.01429410|45268:0.07975675|47294:0.01742350|25644:0.01482286|42316:0.01317561|3972:0.01132453|19587:0.02961243|1334:0.05728534|1253:0.04623868|21590:0.01194760|18158:0.01402651|1352:0.01391536|4208:0.01122962|19726:0.03840313|42323:0.01155967|39956:0.01323729|42576:0.01109628|19698:0.01452724|2084:0.01760529|19731:0.01180093|11173:0.01414392|37182:0.01419279|32363:0.01332518|44889:0.01210535|33653:0.01399254|12720:0.02516820|4054:0.01600459|48350:0.01398134|30925:0.07489015|12779:0.01408439|40380:0.01508993|21201:0.01421766|18855:0.01232092|4314:0.02926270|4447:0.01424283|4438:0.02974723|3159:0.01516732|3157:0.01544067|4468:0.01533126|35907:0.01503372|33169:0.02548932|23121:0.03547181|38143:0.01433340|11884:0.01394809|38887:0.08298304|3932:0.01526827|18970:0.01657640|21807:0.01460107|21866:0.01464666|5126:0.01310833|47346:0.03101835|11186:0.02914245|6729:0.01742350|39926:0.05426872|45277:0.01447000|37028:0.01553252|36936:0.04002471|46484:0.02645896|25629:0.01253880|49765:0.01382014|21752:0.01333336|25630:0.01339995|1257:0.01273849|4885:0.01249447|1255:0.02639705|42170:0.01548609|21753:0.01341694|25631:0.01347750|21591:0.01278208|1258:0.01285899|14135:0.01558000|37188:0.01323729|4398:0.01612574|4385:0.02908360|3142:0.01650042|3136:0.03053654|12485:0.02851106|48510:0.01565332|38618:0.01434666|5121:0.01466207|46986:0.01325300|33650:0.01485656|27500:0.01760529|30907:0.03278278|23317:0.02974723|17488:0.01673719|11225:0.03521057|4393:0.01835952|29310:0.01682247|36937:0.04276660|43379:0.01490815|43380:0.01555613|42168:0.01818532|14133:0.01818532|37373:0.03083665|21856:0.01594655|19607:0.01710145|42367:0.07588818|5036:0.01635628|47612:0.01490815|47613:0.01705229|46550:0.01580814|18381:0.01430712|11766:0.01445593|42445:0.01572930|12722:0.02905448|41875:0.01773590|19561:0.01533126|7205:0.03237811|39991:0.01665525|39948:0.01653806|34342:0.03620675|32401:0.01463135|3227:0.01661545|10795:0.01661545|21220:0.01673719|32253:0.11394628|29891:0.01558000|42178:0.01754292|14139:0.01754292|39446:0.01736626|33668:0.01691139|3211:0.02807592|30934:0.01682247|5523:0.01691139|35305:0.01780441|24602:0.01715179|23131:0.04019928|4305:0.02981630|4466:0.03053654|3113:0.03200918|3165:0.03172483|40281:0.01710145|29460:0.01715179|30884:0.06462862|1359:0.01673719|4453:0.02833642|3161:0.01463135|21275:0.01911770|29226:0.04366938|29227:0.04544311|17102:0.06413690|15192:0.01478970|22055:0.09186032|30896:0.03355879|17187:0.03053654|31521:0.01911770|4383:0.01632175|4384:0.03010458|4436:0.03092652|3135:0.01572930|3156:0.03250869|3118:0.03092652|4315:0.01657640|7206:0.03637063|19912:0.01715179|39960:0.07094362|12785:0.01615716|258:0.02981630|20009:0.03285421|7932:0.01586241|21072:0.01720338|19678:0.01567834|20001:0.18248539|259:0.01742350|4210:0.01600459|4402:0.01537434|4485:0.01594655|3172:0.01618905|3112:0.03206845|6168:0.01766957|6169:0.01939668|46865:0.01700426|6761:0.01646344|3134:0.01710145|3144:0.01589008|30874:0.46855752|30877:0.05341323|30875:0.09856264|30876:0.09900252|46989:0.01787524|49766:0.01760529|15276:0.01725627|7212:0.03547181|42561:0.01720338|30878:0.01854958|4715:0.12700118|33654:0.01865151|43328:0.01766957|11216:0.03637063,3,2
42638:0.02218412|6425:0.00655208|3404:0.09619040|18108:0.05735567|25663:0.03022535|40320:0.00815122|36899:0.00597581|29109:0.07902797|18239:0.03482425|41932:0.00259446|47879:0.00573671|21582:0.02209138|23973:0.11470109|45676:0.02008560|7941:0.00926288|43376:0.00484485|4296:0.09211701|26249:0.01765490|3102:0.08872174|13558:0.03695572|10620:0.00951265|24027:0.00703874|45688:0.00798595|3111:0.07860071|8218:0.00474857|7343:0.07524159|46143:0.09209622|35232:0.14920913|27300:0.02048676|22078:0.01304030|3224:0.00572918|8938:0.08804929|1212:0.02310948|41967:0.00410074|40238:0.03488260|27673:0.01648328|38006:0.02444446|40275:0.00812232|29270:0.02570906|45739:0.00934366|8783:0.00513415|29462:0.00828780|17977:0.03178718|45813:0.00570583|29993:0.00635447|45859:0.00858142|38409:0.00668620|38294:0.01326435|3187:0.00568360|38415:0.00925864|3909:0.07982152|47284:0.01757113|29440:0.02008397|1490:0.02443741|24094:0.01181989|24137:0.00567202|29118:0.00846820|11327:0.19988397|8044:0.01290353|45695:0.00942935|18587:0.11620411|43389:0.01283498|45696:0.01132961|29354:0.00745876|19416:0.01648756|35302:0.00972868|37293:0.00929287|35303:0.01127443|29313:0.00754618|12705:0.00622468|49010:0.00894582|6583:0.02071233|10797:0.00891226|47889:0.01038670|21645:0.01031881|11397:0.03613919|35237:0.01126094|29397:0.14361878|35238:0.01231111|12727:0.01076874|21815:0.00852379|37446:0.01046574|24046:0.01776474|3441:0.02295337|29924:0.01572094|38147:0.01060995|3485:0.03889446|23977:0.01964549|18241:0.04433282|29873:0.16098245|29887:0.01059228|35295:0.00978024|27706:0.01021871|3920:0.03254819|3110:0.02467507|12728:0.01311439|40376:0.02713354|7565:0.01883363|1225:0.01097872|37447:0.01250618|35457:0.00966408|7506:0.04990715|10634:0.02277361|8753:0.01110740|3982:0.05133993|3503:0.02559766|11376:0.04188590|27371:0.02552698|3247:0.02396264|8968:0.01225954|47370:0.01259781|8365:0.01069202|38902:0.03095914|32242:0.56944139|1437:0.04052875|38905:0.05450448|46144:0.04622289|42932:0.03095914|24082:0.01213758|23978:0.02207181|8939:0.08040655|8940:0.07147127|3921:0.03760841|11352:0.08343178|3481:0.05133993|28704:0.01350958|23986:0.03557617|22116:0.02507227|24063:0.04572441|17996:0.01320427|18013:0.04106338|18589:0.08040655|21651:0.02640854|18009:0.01124755|8944:0.02457023|40244:0.04036321|29278:0.04020327|29962:0.53344477|29881:0.01420437|29882:0.01429425|29893:0.19883468|32243:0.24854334,3,2
42638:0.02425369|6425:0.02507162|18108:0.10595217|36899:0.03811087|29109:0.07257642|37247:0.07181120|21582:0.01878511|23973:0.13965176|46637:0.01596754|48347:0.01747685|3102:0.01616644|10620:0.10920093|21733:0.02765224|28853:0.04485395|43321:0.03273485|8218:0.07268191|10690:0.09853608|7343:0.21593486|4871:0.02818719|27300:0.01567858|18417:0.03236898|38006:0.01558952|28359:0.07675450|11769:0.12449044|24103:0.03889364|29270:0.01967523|24002:0.07068515|24003:0.08218994|46701:0.02091770|46714:0.03842581|15985:0.11095281|6443:0.03840173|3909:0.46990506|27552:0.03535678|4916:0.03590757|18264:0.09206374|3923:0.06377335|3952:0.04073669|4022:0.07763463|10697:0.04026845|3953:0.04530284|18273:0.05001755|44234:0.04368426|1205:0.03532840|44235:0.04985708|20917:0.02334459|28370:0.03331388|3206:0.02948162|33906:0.14142713|32257:0.04473609|28899:0.03521619|16047:0.17472241|37253:0.03103146|13478:0.28144713|8361:0.03315395|4932:0.03401123|24021:0.08086305|7388:0.03929053|11794:0.07908373|11795:0.08714357|37632:0.29469656|3972:0.13046567|7377:0.16635099|42576:0.09587708|19731:0.10196556|3920:0.04151539|33909:0.04473609|16049:0.08748259|49393:0.04163534|18461:0.03314409|30925:0.09244086|8301:0.03346779|18271:0.04592857|18464:0.04653514|8364:0.04662701|37645:0.04897493|37646:0.04970077|38065:0.04205337|10775:0.11811944|8403:0.03937315|8405:0.04552993|3969:0.04870745|6451:0.04329946|8320:0.04020443|3982:0.29467956|3947:0.04774263|18679:0.04409535|29350:0.04672030|25140:0.04568623|24920:0.04720978|42827:0.04568623|25141:0.04576593|24921:0.04808656|42828:0.04576593|41048:0.04609573|13482:0.04857804|21739:0.04522901|19208:0.03959917|29367:0.04985708|30931:0.04480408|48365:0.04132064|3973:0.04201024|29139:0.04309015|36388:0.09288931|24063:0.04374129|4934:0.04681506|19515:0.04691134|3926:0.09741490|21796:0.04494242|7541:0.05052635|7389:0.04731264|18267:0.04925485|11778:0.10685138|25143:0.04925485|25207:0.09971415|25208:0.05127949|42835:0.04985708|10805:0.05052635|25209:0.05127949|10806:0.05070598|9645:0.05070598,3,2
42638:0.02488450|18108:0.01552970|36899:0.01564084|41932:0.02037190|21582:0.01927370|46637:0.03276569|27300:0.03217273|49321:0.06001169|46701:0.04292351|46794:0.07823415|99:0.17443235|17025:0.09311564|16737:0.17663337|35608:0.88186346|37854:0.19174182|49040:0.07782480|13515:0.10482157|36427:0.08800669|9007:0.08186362|42756:0.09311564|17026:0.10136940|19526:0.10699339|9009:0.10332307|42757:0.10136940|49039:0.07712898|49113:0.10442956,3,2
42638:0.03326092|18108:0.02075718|36899:0.02090573|41932:0.02722931|21582:0.02576145|46637:0.04379500|27300:0.04300245|46701:0.05737206|20917:0.06402842|46794:0.10456867|99:0.23314831|17025:0.12445945|16737:0.23609021|35608:0.73669309|37854:0.25628435|13515:0.14010573|36427:0.11763076|9007:0.10941987|42756:0.12445945|17026:0.13549151|19526:0.14300860|9009:0.13810281|42757:0.13549151|49047:0.13254973|6670:0.14300860|49050:0.12162326|3748:0.13509381|17024:0.13064333|49043:0.12345891,3,2
42638:0.03400857|18108:0.04244753|36899:0.02992592|41932:0.00556828|47879:0.01231223|21582:0.01053621|7941:0.00994008|10620:0.01361082|41995:0.01003070|6704:0.01540482|37159:0.03509328|27300:0.03517526|2234:0.04711069|36754:0.04752747|30383:0.01645549|21834:0.01357000|19495:0.01340914|11769:0.01163738|9108:0.04203208|34026:0.39336322|45813:0.06122981|45859:0.01841760|33184:0.11463690|8044:0.01384691|886:0.01867377|46206:0.22371103|23502:0.01909544|11788:0.02227564|11789:0.02466474|11494:0.02056812|27527:0.02168786|9175:0.04348729|46838:0.47819815|45156:0.05708773|46912:0.02731907|9446:0.02342111|15834:0.08147511|34036:0.02487143|34032:0.02787621|15835:0.06762797|6247:0.02202200|36870:0.02232539|21841:0.02317596|39412:0.05708773|19355:0.09514795|47964:0.02746910|34033:0.02824143|46892:0.02416844|46211:0.11945823|43003:0.02425610|46893:0.02717544|46212:0.05331037|43004:0.02717544|39674:0.02361130|8058:0.02549387|23955:0.02924464|23411:0.02631167|43182:0.02796388|46840:0.02965842|9165:0.02796388|32646:0.25999430|46886:0.05648286|39159:0.14120715|46887:0.02876168|46888:0.02876168|19322:0.02697083|10826:0.02887610|34038:0.61548253,3,2
42638:0.03487849|18108:0.07400663|36899:0.00438449|29109:0.02783198|41932:0.00571071|47879:0.00631358|21582:0.00540286|46637:0.05510985|24927:0.01145891|31386:0.05838193|48347:0.04021268|3102:0.03719753|13558:0.04648223|10620:0.00697949|41995:0.01028728|46735:0.01287969|13813:0.02413286|17263:0.21397116|12776:0.03096596|11146:0.04461041|17428:0.01016521|17468:0.02396023|12795:0.02424043|6804:0.01286360|27300:0.01803751|3224:0.02522120|24548:0.03215771|20008:0.05165986|11172:0.01460601|45265:0.01055675|7009:0.02807385|22717:0.26682418|13885:0.05003270|22752:0.04848330|13887:0.05147545|17728:0.02024935|18929:0.04214788|11421:0.01704604|17372:0.02519433|48364:0.04294051|37154:0.02160919|31985:0.08389243|17562:0.06053490|30991:0.08672322|22747:0.07130527|33627:0.18202951|17489:0.02577255|19225:0.04754313|17513:0.03452244|28952:0.44675986|17561:0.09080925|28953:0.09125119|42891:0.06172577|33811:0.04477493|17741:0.02055777|21671:0.01750146|3216:0.02064608|18681:0.01822905|41155:0.04321838|24757:0.06953793|41167:0.04296325|25057:0.06053950|46699:0.02218634|46732:0.02687482|29267:0.02291364|26021:0.21678562|32071:0.37576111|32009:0.02687482|42893:0.02727574|30925:0.05317455|32040:0.05518703|24571:0.04562366|7302:0.08499827|29320:0.02739937|48369:0.02676831|31400:0.02268058|17332:0.02141397|11199:0.05833498|17231:0.27115609|3232:0.05455149|19226:0.02766073|32072:0.36987148|17742:0.02500019|22718:0.04808799|22720:0.05559840|22787:0.02554425|19151:0.06292669|6827:0.02841617|19340:0.05666552|17514:0.05666552|19250:0.05754297|24555:0.02772927|17586:0.02986207|3218:0.02896383|13607:0.03167318|22344:0.16485054|17145:0.25517257,3,2
42638:0.03587067|6425:0.00741608|3404:0.05443735|18108:0.03134019|40320:0.01845218|36899:0.01352763|29109:0.00715593|40438:0.03076960|41932:0.00587316|21582:0.01111311|45676:0.01136711|7941:0.02096868|1000:0.01795145|13813:0.00827312|12776:0.02123123|22346:0.01421178|28853:0.05307041|46143:0.01603702|27300:0.09275311|36754:0.18798671|41967:0.00928299|21834:0.01431301|19495:0.07071671|37316:0.01364844|38006:0.65480632|9206:0.03502299|26286:0.01769732|11769:0.02454915|36269:0.02250176|44793:0.02510814|41880:0.01525381|11252:0.01508798|15985:0.05469893|37034:0.01759657|36811:0.03833950|36857:0.01909330|9108:0.19211181|6555:0.01459082|17977:0.02878308|23365:0.01724077|48820:0.01233826|18015:0.02634747|48889:0.01877517|38409:0.03027153|38294:0.03002696|27529:0.03024503|19533:0.03398954|38232:0.01985502|6994:0.07804025|6995:0.07847770|21285:0.02294906|47596:0.01646325|26290:0.02353022|8044:0.02921016|30821:0.01924261|38396:0.02042254|12705:0.02818202|12729:0.03342527|886:0.01969624|23502:0.02014099|23503:0.02096762|19506:0.02291939|1404:0.03996433|38324:0.02252813|1407:0.02931242|890:0.02380348|36161:0.03554613|47690:0.02465508|42211:0.02781022|27527:0.04575071|28856:0.02824412|6996:0.02844759|9175:0.13760517|9157:0.05155337|24757:0.03575803|27399:0.06105011|35204:0.06798894|891:0.02537209|3510:0.02470351|38121:0.28589999|36862:0.02667130|9182:0.07915911|41153:0.02399805|15834:0.01718724|15835:0.01783272|11875:0.02623324|9124:0.05387022|9125:0.05434188|27326:0.02615908|38297:0.03058209|1094:0.02680076|2229:0.02742351|26097:0.02420387|19546:0.02630898|47140:0.19988000|27189:0.05034377|23504:0.02439987|13477:0.02831066|21300:0.04549283|3567:0.07118559|47532:0.19923288|33269:0.05732680|16740:0.32342798|46211:0.02519981|47612:0.02540163|47613:0.02905497|27528:0.05732680|8058:0.05377952|46905:0.02472797|22056:0.12327538|43008:0.02472797|46906:0.02601523|22061:0.08453640|43009:0.02601523|44836:0.05747669|12744:0.05999443|14045:0.05880509|36193:0.02732032|3683:0.05689518|21991:0.02717094|21992:0.02881490|4814:0.02949501|18009:0.02546146|3422:0.07976262|3571:0.02752978|46894:0.02866340|43005:0.02866340|46895:0.02897314|6571:0.02866340|43006:0.02897314|46896:0.02958994|36776:0.11956378|19498:0.11956378|22058:0.02931242|3573:0.03058209|9177:0.03128233|22059:0.02989095|9178:0.03128233|27537:0.02897314,3,2
42638:0.03680219|18108:0.06890155|36899:0.03084207|41932:0.01004280|21582:0.00950142|46637:0.01615261|24927:0.04030306|7941:0.12549376|44086:0.07319583|13813:0.01414661|17263:0.08180168|11146:0.01961286|17428:0.01787645|17468:0.02106812|47061:0.41798556|21692:0.02035747|13854:0.01884772|13856:0.01959163|20078:0.03103036|46701:0.02116015|10491:0.04830454|44538:0.07091591|7785:0.02877983|15985:0.09353232|31074:0.14153884|10393:0.06140460|16143:0.13682147|31094:0.03090607|31088:0.04323587|37281:0.04249715|16150:0.04479374|31089:0.04707450|47482:0.03135617|37006:0.02662247|10507:0.05870811|37012:0.03135617|9674:0.06097394|35517:0.19637280|39549:0.07932695|42714:0.03346876|9676:0.03416846|37298:0.03023245|42715:0.03440543|46708:0.03350835|36999:0.03340009|17413:0.03982949|21698:0.03563843|41972:0.04100131|24969:0.04927198|35527:0.04142370|31119:0.09243150|16156:0.09275616|16151:0.03273539|33648:0.15228411|43014:0.03588280|47500:0.03704267|47077:0.04590353|47082:0.04176091|43016:0.03720452|47501:0.04680392|9687:0.04299525|7988:0.04613618|19341:0.04153404|33653:0.04076781|19896:0.03725944|35547:0.10580822|17635:0.04567944|10401:0.03651599|7806:0.04654486|8129:0.04294825|33650:0.04328516|5464:0.08306808|35524:0.04735766|31084:0.05012271|9680:0.04671633|8130:0.04662999|16147:0.05076404|35531:0.04954256|47507:0.18651997|47126:0.20517472|40902:0.04982573|47078:0.05059726|8092:0.04637808|12144:0.05012271|33680:0.08896937|32435:0.15502272|47101:0.15624057|39031:0.62780262|6363:0.05012271|35563:0.04671633|35564:0.05059726,3,2
6425:0.00413524|40075:0.02723982|18108:0.00832165|25663:0.00317938|36899:0.02095301|29109:0.00266012|2074:0.00297603|47879:0.00241376|45676:0.00422558|43376:0.00407701|4296:0.06527806|3102:0.00888816|13558:0.00888535|3111:0.00881914|13813:0.00307543|8218:0.17582336|4871:0.00309941|21043:0.02666828|30383:0.03548628|40238:0.00419345|27673:0.00462363|24548:0.02458854|14311:0.00271224|35630:0.00906393|48677:0.00347614|36403:0.27108703|29408:0.00231864|35886:0.26713852|5772:0.01963869|41880:0.00850561|8783:0.00432045|5637:0.00668551|11566:0.11864101|18602:0.02357074|46296:0.00534487|21933:0.01772087|11047:0.00540556|6443:0.00422258|3187:0.00239141|41097:0.02287469|3584:0.05483467|28185:0.00586139|22603:0.01420665|28710:0.15388466|11623:0.02853294|42086:0.07299438|37272:0.00807631|32177:0.04996353|2408:0.00719691|44556:0.00822580|28759:0.00901332|41997:0.00691095|40298:0.00706620|8814:0.00336651|46369:0.00462411|33072:0.00727814|11650:0.02055617|32125:0.00817407|7652:0.01913279|40082:0.02205193|40083:0.02085568|3638:0.02082747|22661:0.00835986|3660:0.06666943|3661:0.04444628|21069:0.00438008|10925:0.02505050|5014:0.00322144|6461:0.00362315|18349:0.00421746|22108:0.00573328|40115:0.00508751|46881:0.01246813|914:0.00443496|26707:0.00570831|40111:0.00858181|11624:0.03808904|32206:0.00996284|48745:0.17872713|32207:0.00531398|8355:0.12690026|42087:0.08080356|11642:0.04632929|18610:0.04320324|33082:0.00921068|33083:0.00492658|30489:0.09150485|915:0.00541597|32188:0.00531398|11658:0.00513728|40099:0.01550713|46302:0.00504122|43385:0.00996284|5777:0.00964488|43386:0.00997927|20800:0.02023739|28694:0.10742456|39361:0.00494953|33079:0.00524969|13605:0.00530061|27686:0.00520241|13896:0.01127720|32197:0.03875624|37242:0.12180533|29967:0.01132206|22663:0.00494953|2413:0.00500639|11067:0.00497330|28776:0.23889877|30532:0.01141662|35917:0.01712493|2327:0.00573328|5779:0.00530061|36411:0.00570831|36413:0.19187522|30386:0.00548219|8346:0.01620121|8349:0.29437356|35891:0.03095950|8354:0.01727769|36412:0.00581440|5781:0.00551797|37273:0.00581440|8352:0.03095950|32192:0.00513728|42509:0.00535578|5179:0.14800967|22199:0.13833128|39551:0.01181375|15340:0.00578624|33673:0.15243043|30471:0.04995888|16255:0.05708311|20124:0.00609722|26034:0.01115108|25991:0.01162880|3655:0.01873458|14351:0.00605452|35436:0.01195317|35433:0.01127720|5180:0.14980208|22200:0.14980208|36408:0.13677581|28779:0.13148487|28745:0.13513927|28777:0.13677581|35889:0.03151215|28697:0.12804156|48746:0.10083888|30396:0.05672187|48749:0.03048609|25666:0.00503234|28731:0.03071433|41907:0.01228573|35887:0.12374954|30490:0.07638590|33674:0.07493831|35892:0.03027258|28756:0.08467074|21934:0.02421806|3636:0.02970406|3651:0.00524969|40086:0.00553661|28713:0.01181375|5181:0.14980208|22201:0.14980208|8357:0.13677581|36409:0.13677581|28780:0.13513927|28746:0.13677581|28778:0.13677581|8351:0.03151215|35890:0.03151215|37244:0.12804156|36414:0.10083888|48747:0.05672187|11643:0.05672187|30397:0.03907880|32198:0.03256567|40084:0.00493414|48748:0.03907880|11653:0.03907880|8350:0.12374954|35888:0.07815761|30491:0.07815761|33675:0.07815761|8353:0.03027258|3637:0.02421806,3,2
